Site Name,MVL-RSC-IN
Isco Quantity,Level
Label,Level
Units,ft
Resolution, 0.1 
Significant Digits,0

2/7/2018 2:20:00 PM,0.151
2/7/2018 2:22:00 PM,0.141
2/7/2018 2:24:00 PM,0.154
2/7/2018 2:26:00 PM,0.131
2/7/2018 2:28:00 PM,0.157
2/7/2018 2:30:00 PM,0.148
2/7/2018 2:32:00 PM,0.148
2/7/2018 2:34:00 PM,0.141
2/7/2018 2:36:00 PM,0.141
2/7/2018 2:38:00 PM,0.161
2/7/2018 2:40:00 PM,0.151
2/7/2018 2:42:00 PM,0.171
2/7/2018 2:44:00 PM,0.151
2/7/2018 2:46:00 PM,0.141
2/7/2018 2:48:00 PM,0.148
2/7/2018 2:50:00 PM,0.154
2/7/2018 2:52:00 PM,0.164
2/7/2018 2:54:00 PM,0.144
2/7/2018 2:56:00 PM,0.167
2/7/2018 2:58:00 PM,0.151
2/7/2018 3:00:00 PM,0.154
2/7/2018 3:02:00 PM,0.148
2/7/2018 3:04:00 PM,0.151
2/7/2018 3:06:00 PM,0.157
2/7/2018 3:08:00 PM,0.151
2/7/2018 3:10:00 PM,0.157
2/7/2018 3:12:00 PM,0.171
2/7/2018 3:14:00 PM,0.164
2/7/2018 3:16:00 PM,0.161
2/7/2018 3:18:00 PM,0.157
2/7/2018 3:20:00 PM,0.154
2/7/2018 3:22:00 PM,0.167
2/7/2018 3:24:00 PM,0.161
2/7/2018 3:26:00 PM,0.154
2/7/2018 3:28:00 PM,0.161
2/7/2018 3:30:00 PM,0.167
2/7/2018 3:32:00 PM,0.167
2/7/2018 3:34:00 PM,0.177
2/7/2018 3:36:00 PM,0.177
2/7/2018 3:38:00 PM,0.171
2/7/2018 3:40:00 PM,0.200
2/7/2018 3:42:00 PM,0.207
2/7/2018 3:44:00 PM,0.236
2/7/2018 3:46:00 PM,0.253
2/7/2018 3:48:00 PM,0.249
2/7/2018 3:50:00 PM,0.266
2/7/2018 3:52:00 PM,0.246
2/7/2018 3:54:00 PM,0.276
2/7/2018 3:56:00 PM,0.285
2/7/2018 3:58:00 PM,0.276
2/7/2018 4:00:00 PM,0.269
2/7/2018 4:02:00 PM,0.272
2/7/2018 4:04:00 PM,0.269
2/7/2018 4:06:00 PM,0.272
2/7/2018 4:08:00 PM,0.259
2/7/2018 4:10:00 PM,0.272
2/7/2018 4:12:00 PM,0.282
2/7/2018 4:14:00 PM,0.282
2/7/2018 4:16:00 PM,0.289
2/7/2018 4:18:00 PM,0.289
2/7/2018 4:20:00 PM,0.292
2/7/2018 4:22:00 PM,0.285
2/7/2018 4:24:00 PM,0.285
2/7/2018 4:26:00 PM,0.285
2/7/2018 4:28:00 PM,0.285
2/7/2018 4:30:00 PM,0.285
2/7/2018 4:32:00 PM,0.282
2/7/2018 4:34:00 PM,0.292
2/7/2018 4:36:00 PM,0.285
2/7/2018 4:38:00 PM,0.295
2/7/2018 4:40:00 PM,0.299
2/7/2018 4:42:00 PM,0.302
2/7/2018 4:44:00 PM,0.292
2/7/2018 4:46:00 PM,0.282
2/7/2018 4:48:00 PM,0.285
2/7/2018 4:50:00 PM,0.285
2/7/2018 4:52:00 PM,0.279
2/7/2018 4:54:00 PM,0.289
2/7/2018 4:56:00 PM,0.285
2/7/2018 4:58:00 PM,0.285
2/7/2018 5:00:00 PM,0.299
2/7/2018 5:02:00 PM,0.285
2/7/2018 5:04:00 PM,0.295
2/7/2018 5:06:00 PM,0.285
2/7/2018 5:08:00 PM,0.299
2/7/2018 5:10:00 PM,0.289
2/7/2018 5:12:00 PM,0.299
2/7/2018 5:14:00 PM,0.289
2/7/2018 5:16:00 PM,0.289
2/7/2018 5:18:00 PM,0.285
2/7/2018 5:20:00 PM,0.299
2/7/2018 5:22:00 PM,0.285
2/7/2018 5:24:00 PM,0.292
2/7/2018 5:26:00 PM,0.276
2/7/2018 5:28:00 PM,0.295
2/7/2018 5:30:00 PM,0.302
2/7/2018 5:32:00 PM,0.295
2/7/2018 5:34:00 PM,0.299
2/7/2018 5:36:00 PM,0.292
2/7/2018 5:38:00 PM,0.282
2/7/2018 5:40:00 PM,0.312
2/7/2018 5:42:00 PM,0.305
2/7/2018 5:44:00 PM,0.295
2/7/2018 5:46:00 PM,0.299
2/7/2018 5:48:00 PM,0.299
2/7/2018 5:50:00 PM,0.308
2/7/2018 5:52:00 PM,0.308
2/7/2018 5:54:00 PM,0.299
2/7/2018 5:56:00 PM,0.282
2/7/2018 5:58:00 PM,0.292
2/7/2018 6:00:00 PM,0.302
2/7/2018 6:02:00 PM,0.292
2/7/2018 6:04:00 PM,0.299
2/7/2018 6:06:00 PM,0.299
2/7/2018 6:08:00 PM,0.295
2/7/2018 6:10:00 PM,0.292
2/7/2018 6:12:00 PM,0.305
2/7/2018 6:14:00 PM,0.292
2/7/2018 6:16:00 PM,0.285
2/7/2018 6:18:00 PM,0.289
2/7/2018 6:20:00 PM,0.305
2/7/2018 6:22:00 PM,0.289
2/7/2018 6:24:00 PM,0.282
2/7/2018 6:26:00 PM,0.295
2/7/2018 6:28:00 PM,0.285
2/7/2018 6:30:00 PM,0.282
2/7/2018 6:32:00 PM,0.292
2/7/2018 6:34:00 PM,0.292
2/7/2018 6:36:00 PM,0.299
2/7/2018 6:38:00 PM,0.289
2/7/2018 6:40:00 PM,0.308
2/7/2018 6:42:00 PM,0.308
2/7/2018 6:44:00 PM,0.299
2/7/2018 6:46:00 PM,0.299
2/7/2018 6:48:00 PM,0.292
2/7/2018 6:50:00 PM,0.292
2/7/2018 6:52:00 PM,0.279
2/7/2018 6:54:00 PM,0.292
2/7/2018 6:56:00 PM,0.312
2/7/2018 6:58:00 PM,0.289
2/7/2018 7:00:00 PM,0.292
2/7/2018 7:02:00 PM,0.289
2/7/2018 7:04:00 PM,0.285
2/7/2018 7:06:00 PM,0.295
2/7/2018 7:08:00 PM,0.299
2/7/2018 7:10:00 PM,0.295
2/7/2018 7:12:00 PM,0.308
2/7/2018 7:14:00 PM,0.295
2/7/2018 7:16:00 PM,0.289
2/7/2018 7:18:00 PM,0.299
2/7/2018 7:20:00 PM,0.289
2/7/2018 7:22:00 PM,0.279
2/7/2018 7:24:00 PM,0.295
2/7/2018 7:26:00 PM,0.295
2/7/2018 7:28:00 PM,0.289
2/7/2018 7:30:00 PM,0.299
2/7/2018 7:32:00 PM,0.299
2/7/2018 7:34:00 PM,0.299
2/7/2018 7:36:00 PM,0.292
2/7/2018 7:38:00 PM,0.285
2/7/2018 7:40:00 PM,0.299
2/7/2018 7:42:00 PM,0.312
2/7/2018 7:44:00 PM,0.292
2/7/2018 7:46:00 PM,0.292
2/7/2018 7:48:00 PM,0.299
2/7/2018 7:50:00 PM,0.292
2/7/2018 7:52:00 PM,0.292
2/7/2018 7:54:00 PM,0.289
2/7/2018 7:56:00 PM,0.292
2/7/2018 7:58:00 PM,0.299
2/7/2018 8:00:00 PM,0.292
2/7/2018 8:02:00 PM,0.292
2/7/2018 8:04:00 PM,0.285
2/7/2018 8:06:00 PM,0.292
2/7/2018 8:08:00 PM,0.312
2/7/2018 8:10:00 PM,0.299
2/7/2018 8:12:00 PM,0.312
