timestamp,in2.ft
2/9/2018 11:02,0.329
2/9/2018 11:04,0.359
2/9/2018 11:06,0.361
2/9/2018 11:08,0.364
2/9/2018 11:10,0.119
2/9/2018 11:12,0.091
2/9/2018 11:14,0.087
2/9/2018 11:16,0.086
2/9/2018 11:18,0.087
2/9/2018 11:20,0.087
2/9/2018 11:22,0.087
2/9/2018 11:24,0.087
2/9/2018 11:26,0.087
2/9/2018 11:28,0.09
2/9/2018 11:30,0.087
2/9/2018 11:32,0.08
2/9/2018 11:34,0.08
2/9/2018 11:36,0.08
2/9/2018 11:38,0.083
2/9/2018 11:40,0.083
2/9/2018 11:42,0.08
2/9/2018 11:44,0.08
2/9/2018 11:46,0.08
2/9/2018 11:48,0.08
2/9/2018 11:50,0.08
2/9/2018 11:52,0.08
2/9/2018 11:54,0.08
2/9/2018 11:56,0.08
2/9/2018 11:58,0.083
2/9/2018 12:00,0.08
2/9/2018 12:02,0.08
2/9/2018 12:04,0.08
2/9/2018 12:06,0.08
2/9/2018 12:08,0.08
2/9/2018 12:10,0.08
2/9/2018 12:12,0.08
2/9/2018 12:14,0.08
2/9/2018 12:16,0.08
2/9/2018 12:18,0.08
2/9/2018 12:20,0.077
2/9/2018 12:22,0.077
2/9/2018 12:24,0.08
2/9/2018 12:26,0.077
2/9/2018 12:28,0.08
2/9/2018 12:30,0.077
2/9/2018 12:32,0.077
2/9/2018 12:34,0.077
2/9/2018 12:36,0.077
2/9/2018 12:38,0.077
2/9/2018 12:40,0.077
2/9/2018 12:42,0.077
2/9/2018 12:44,0.077
2/9/2018 12:46,0.077
2/9/2018 12:48,0.08
2/9/2018 12:50,0.08
2/9/2018 12:52,0.08
2/9/2018 12:54,0.083
2/9/2018 12:56,0.083
2/9/2018 12:58,0.083
2/9/2018 13:00,0.083
2/9/2018 13:02,0.083
2/9/2018 13:04,0.083
2/9/2018 13:06,0.083
2/9/2018 13:08,0.083
2/9/2018 13:10,0.087
2/9/2018 13:12,0.083
2/9/2018 13:14,0.083
2/9/2018 13:16,0.083
2/9/2018 13:18,0.083
