"Plot Title: RSC_INLET2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10445237, SEN S/N: 10445237)","Water Level, feet (LGR S/N: 10445237)"
1,11/10/17 11:36:00 AM,59.164,0.059
2,11/10/17 11:38:00 AM,59.164,0.065
3,11/10/17 11:40:00 AM,58.993,0.068
4,11/10/17 11:42:00 AM,58.820,0.070
5,11/10/17 11:44:00 AM,58.820,0.069
6,11/10/17 11:46:00 AM,58.820,0.067
7,11/10/17 11:48:00 AM,58.820,0.066
8,11/10/17 11:50:00 AM,58.993,0.065
9,11/10/17 11:52:00 AM,59.164,0.064
10,11/10/17 11:54:00 AM,59.164,0.065
11,11/10/17 11:56:00 AM,59.337,0.064
12,11/10/17 11:58:00 AM,59.337,0.062
13,11/10/17 12:00:00 PM,59.508,0.070
14,11/10/17 12:02:00 PM,59.508,0.066
15,11/10/17 12:04:00 PM,59.508,0.063
16,11/10/17 12:06:00 PM,59.508,0.061
17,11/10/17 12:08:00 PM,59.508,0.061
18,11/10/17 12:10:00 PM,59.508,0.068
19,11/10/17 12:12:00 PM,59.337,0.065
20,11/10/17 12:14:00 PM,59.337,0.063
21,11/10/17 12:16:00 PM,59.337,0.060
22,11/10/17 12:18:00 PM,59.337,0.057
23,11/10/17 12:20:00 PM,59.164,0.064
24,11/10/17 12:22:00 PM,59.164,0.066
25,11/10/17 12:24:00 PM,59.164,0.061
26,11/10/17 12:26:00 PM,58.993,0.068
27,11/10/17 12:28:00 PM,58.993,0.068
28,11/10/17 12:30:00 PM,59.164,0.064
29,11/10/17 12:32:00 PM,59.164,0.064
30,11/10/17 12:34:00 PM,59.164,0.061
31,11/10/17 12:36:00 PM,59.164,0.064
32,11/10/17 12:38:00 PM,59.164,0.069
33,11/10/17 12:40:00 PM,59.164,0.066
34,11/10/17 12:42:00 PM,59.164,0.061
35,11/10/17 12:44:00 PM,59.164,0.057
36,11/10/17 12:46:00 PM,59.164,0.057
37,11/10/17 12:48:00 PM,59.164,0.061
38,11/10/17 12:50:00 PM,59.164,0.061
39,11/10/17 12:52:00 PM,59.164,0.056
40,11/10/17 12:54:00 PM,59.164,0.056
41,11/10/17 12:56:00 PM,59.164,0.060
42,11/10/17 12:58:00 PM,59.164,0.060
43,11/10/17 01:00:00 PM,58.993,0.062
44,11/10/17 01:02:00 PM,58.993,0.054
45,11/10/17 01:04:00 PM,58.993,0.062
46,11/10/17 01:06:00 PM,58.820,0.054
47,11/10/17 01:08:00 PM,58.820,0.061
48,11/10/17 01:10:00 PM,58.647,0.059
49,11/10/17 01:12:00 PM,58.647,0.059
50,11/10/17 01:14:00 PM,58.647,0.064
51,11/10/17 01:16:00 PM,58.476,0.062
52,11/10/17 01:18:00 PM,58.476,0.062
53,11/10/17 01:20:00 PM,58.476,0.062
54,11/10/17 01:22:00 PM,58.303,0.060
55,11/10/17 01:24:00 PM,58.303,0.056
56,11/10/17 01:26:00 PM,58.303,0.059
57,11/10/17 01:28:00 PM,58.303,0.055
58,11/10/17 01:30:00 PM,58.131,0.052
59,11/10/17 01:32:00 PM,58.131,0.057
60,11/10/17 01:34:00 PM,58.131,0.061
61,11/10/17 01:36:00 PM,57.958,0.053
62,11/10/17 01:38:00 PM,57.958,0.053
63,11/10/17 01:40:00 PM,57.958,0.060
64,11/10/17 01:42:00 PM,57.958,0.055
65,11/10/17 01:44:00 PM,57.958,0.055
66,11/10/17 01:46:00 PM,57.958,0.064
67,11/10/17 01:48:00 PM,57.785,0.059
68,11/10/17 01:50:00 PM,57.785,0.059
69,11/10/17 01:52:00 PM,57.785,0.054
70,11/10/17 01:54:00 PM,57.785,0.059
71,11/10/17 01:56:00 PM,57.785,0.058
72,11/10/17 01:58:00 PM,57.785,0.058
73,11/10/17 02:00:00 PM,57.614,0.052
74,11/10/17 02:02:00 PM,57.614,0.055
75,11/10/17 02:04:00 PM,57.614,0.057
76,11/10/17 02:06:00 PM,57.614,0.064
77,11/10/17 02:08:00 PM,57.614,0.060
78,11/10/17 02:10:00 PM,57.614,0.055
79,11/10/17 02:12:00 PM,57.614,0.052
80,11/10/17 02:14:00 PM,57.614,0.060
81,11/10/17 02:16:00 PM,57.614,0.057
82,11/10/17 02:18:00 PM,57.614,0.059
83,11/10/17 02:20:00 PM,57.614,0.059
84,11/10/17 02:22:00 PM,57.614,0.054
85,11/10/17 02:24:00 PM,57.614,0.054
86,11/10/17 02:26:00 PM,57.614,0.054
87,11/10/17 02:28:00 PM,57.441,0.053
88,11/10/17 02:30:00 PM,57.441,0.053
89,11/10/17 02:32:00 PM,57.441,0.053
