"Plot Title: RSC_INLET2"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10445237, SEN S/N: 10445237)","Water Level, feet (LGR S/N: 10445237)"
1,05/28/18 08:52:00 AM,74.098,-0.235
2,05/28/18 08:54:00 AM,74.271,-0.248
3,05/28/18 08:56:00 AM,74.098,-0.253
4,05/28/18 08:58:00 AM,74.098,-0.248
5,05/28/18 09:00:00 AM,73.926,-0.249
6,05/28/18 09:02:00 AM,73.753,-0.253
7,05/28/18 09:04:00 AM,73.753,-0.246
8,05/28/18 09:06:00 AM,73.753,-0.257
9,05/28/18 09:08:00 AM,73.753,-0.254
10,05/28/18 09:10:00 AM,73.580,-0.251
11,05/28/18 09:12:00 AM,73.580,-0.255
12,05/28/18 09:14:00 AM,73.580,-0.255
13,05/28/18 09:16:00 AM,73.580,-0.248
14,05/28/18 09:18:00 AM,73.580,-0.251
15,05/28/18 09:20:00 AM,73.580,-0.243
16,05/28/18 09:22:00 AM,73.580,-0.246
17,05/28/18 09:24:00 AM,73.580,-0.251
18,05/28/18 09:26:00 AM,73.580,-0.247
19,05/28/18 09:28:00 AM,73.580,-0.255
20,05/28/18 09:30:00 AM,73.580,-0.251
21,05/28/18 09:32:00 AM,73.580,-0.258
22,05/28/18 09:34:00 AM,73.580,-0.253
23,05/28/18 09:36:00 AM,73.753,-0.246
24,05/28/18 09:38:00 AM,73.753,-0.246
25,05/28/18 09:40:00 AM,73.753,-0.251
26,05/28/18 09:42:00 AM,73.926,-0.243
27,05/28/18 09:44:00 AM,73.926,-0.250
28,05/28/18 09:46:00 AM,74.098,-0.252
29,05/28/18 09:48:00 AM,74.098,-0.250
30,05/28/18 09:50:00 AM,74.271,-0.247
31,05/28/18 09:52:00 AM,74.271,-0.245
32,05/28/18 09:54:00 AM,74.446,-0.252
33,05/28/18 09:56:00 AM,74.446,-0.249
34,05/28/18 09:58:00 AM,74.619,-0.249
35,05/28/18 10:00:00 AM,74.619,-0.250
36,05/28/18 10:02:00 AM,74.619,-0.250
37,05/28/18 10:04:00 AM,74.791,-0.254
38,05/28/18 10:06:00 AM,74.791,-0.250
39,05/28/18 10:08:00 AM,74.964,-0.247
40,05/28/18 10:10:00 AM,74.964,-0.252
41,05/28/18 10:12:00 AM,74.964,-0.252
42,05/28/18 10:14:00 AM,74.964,-0.248
43,05/28/18 10:16:00 AM,74.964,-0.250
44,05/28/18 10:18:00 AM,75.139,-0.245
45,05/28/18 10:20:00 AM,75.139,-0.254
46,05/28/18 10:22:00 AM,75.312,-0.250
47,05/28/18 10:24:00 AM,75.312,-0.255
48,05/28/18 10:26:00 AM,75.312,-0.253
49,05/28/18 10:28:00 AM,75.484,-0.247
50,05/28/18 10:30:00 AM,75.484,-0.253
51,05/28/18 10:32:00 AM,75.484,-0.249
52,05/28/18 10:34:00 AM,75.484,-0.253
53,05/28/18 10:36:00 AM,75.484,-0.246
54,05/28/18 10:38:00 AM,75.484,-0.246
55,05/28/18 10:40:00 AM,75.484,-0.252
56,05/28/18 10:42:00 AM,75.484,-0.249
57,05/28/18 10:44:00 AM,75.484,-0.245
58,05/28/18 10:46:00 AM,75.484,-0.245
59,05/28/18 10:48:00 AM,75.484,-0.249
60,05/28/18 10:50:00 AM,75.484,-0.250
61,05/28/18 10:52:00 AM,75.484,-0.250
62,05/28/18 10:54:00 AM,75.484,-0.246
63,05/28/18 10:56:00 AM,75.484,-0.243
64,05/28/18 10:58:00 AM,75.484,-0.251
65,05/28/18 11:00:00 AM,75.484,-0.251
66,05/28/18 11:02:00 AM,75.484,-0.239
67,05/28/18 11:04:00 AM,75.484,-0.248
68,05/28/18 11:06:00 AM,75.484,-0.248
69,05/28/18 11:08:00 AM,75.484,-0.248
70,05/28/18 11:10:00 AM,75.484,-0.243
71,05/28/18 11:12:00 AM,75.312,-0.244
72,05/28/18 11:14:00 AM,75.312,-0.253
73,05/28/18 11:16:00 AM,75.312,-0.253
74,05/28/18 11:18:00 AM,75.312,-0.248
75,05/28/18 11:20:00 AM,75.139,-0.254
76,05/28/18 11:22:00 AM,75.139,-0.250
77,05/28/18 11:24:00 AM,75.139,-0.250
78,05/28/18 11:26:00 AM,74.964,-0.249
79,05/28/18 11:28:00 AM,74.964,-0.246
80,05/28/18 11:30:00 AM,74.964,-0.249
81,05/28/18 11:32:00 AM,74.964,-0.255
82,05/28/18 11:34:00 AM,74.964,-0.247
83,05/28/18 11:36:00 AM,75.139,-0.246
84,05/28/18 11:38:00 AM,75.139,-0.246
85,05/28/18 11:40:00 AM,75.139,-0.245
86,05/28/18 11:42:00 AM,75.139,-0.246
87,05/28/18 11:44:00 AM,75.139,-0.243
88,05/28/18 11:46:00 AM,75.139,-0.246
89,05/28/18 11:48:00 AM,75.139,-0.246
90,05/28/18 11:50:00 AM,75.139,-0.241
91,05/28/18 11:52:00 AM,74.964,-0.251
92,05/28/18 11:54:00 AM,74.964,-0.244
93,05/28/18 11:56:00 AM,74.964,-0.251
94,05/28/18 11:58:00 AM,74.964,-0.243
95,05/28/18 12:00:00 PM,74.964,-0.250
96,05/28/18 12:02:00 PM,74.964,-0.253
97,05/28/18 12:04:00 PM,74.964,-0.246
98,05/28/18 12:06:00 PM,74.964,-0.245
99,05/28/18 12:08:00 PM,74.964,-0.241
100,05/28/18 12:10:00 PM,74.791,-0.251
101,05/28/18 12:12:00 PM,74.791,-0.244
102,05/28/18 12:14:00 PM,74.791,-0.241
103,05/28/18 12:16:00 PM,74.619,-0.241
104,05/28/18 12:18:00 PM,74.619,-0.246
105,05/28/18 12:20:00 PM,74.446,-0.246
106,05/28/18 12:22:00 PM,74.271,-0.250
107,05/28/18 12:24:00 PM,74.098,-0.252
108,05/28/18 12:26:00 PM,73.926,-0.255
109,05/28/18 12:28:00 PM,73.753,-0.248
110,05/28/18 12:30:00 PM,73.580,-0.251
111,05/28/18 12:32:00 PM,73.580,-0.253
112,05/28/18 12:34:00 PM,73.234,-0.250
113,05/28/18 12:36:00 PM,73.234,-0.251
114,05/28/18 12:38:00 PM,73.062,-0.250
115,05/28/18 12:40:00 PM,72.891,-0.259
116,05/28/18 12:42:00 PM,72.891,-0.259
117,05/28/18 12:44:00 PM,72.891,-0.252
118,05/28/18 12:46:00 PM,72.891,-0.251
119,05/28/18 12:48:00 PM,72.891,-0.253
120,05/28/18 12:50:00 PM,72.891,-0.255
121,05/28/18 12:52:00 PM,72.199,0.109
122,05/28/18 12:54:00 PM,71.683,0.318
123,05/28/18 12:56:00 PM,71.856,0.338
124,05/28/18 12:58:00 PM,72.199,0.324
125,05/28/18 01:00:00 PM,72.372,0.327
126,05/28/18 01:02:00 PM,72.718,0.322
127,05/28/18 01:04:00 PM,72.891,0.332
128,05/28/18 01:06:00 PM,73.234,0.329
129,05/28/18 01:08:00 PM,73.407,0.321
130,05/28/18 01:10:00 PM,73.580,0.324
131,05/28/18 01:12:00 PM,73.753,0.321
132,05/28/18 01:14:00 PM,73.926,0.315
133,05/28/18 01:16:00 PM,74.098,0.313
134,05/28/18 01:18:00 PM,74.098,0.313
135,05/28/18 01:20:00 PM,74.271,0.308
136,05/28/18 01:22:00 PM,74.271,0.308
137,05/28/18 01:24:00 PM,74.446,0.306
138,05/28/18 01:26:00 PM,74.446,0.315
139,05/28/18 01:28:00 PM,74.446,0.311
140,05/28/18 01:30:00 PM,74.446,0.320
141,05/28/18 01:32:00 PM,74.619,0.316
142,05/28/18 01:34:00 PM,74.619,0.316
143,05/28/18 01:36:00 PM,74.619,0.321
144,05/28/18 01:38:00 PM,74.619,0.315
145,05/28/18 01:40:00 PM,74.619,0.318
146,05/28/18 01:42:00 PM,74.619,0.322
147,05/28/18 01:44:00 PM,74.791,0.321
148,05/28/18 01:46:00 PM,74.791,0.323
149,05/28/18 01:48:00 PM,74.791,0.318
150,05/28/18 01:50:00 PM,74.791,0.319
151,05/28/18 01:52:00 PM,74.791,0.310
152,05/28/18 01:54:00 PM,74.791,0.309
153,05/28/18 01:56:00 PM,74.791,0.304
154,05/28/18 01:58:00 PM,74.791,0.309
155,05/28/18 02:00:00 PM,74.791,0.313
156,05/28/18 02:02:00 PM,74.791,0.309
157,05/28/18 02:04:00 PM,74.791,0.305
158,05/28/18 02:06:00 PM,74.791,0.300
159,05/28/18 02:08:00 PM,74.791,0.302
160,05/28/18 02:10:00 PM,74.791,0.305
161,05/28/18 02:12:00 PM,74.791,0.307
162,05/28/18 02:14:00 PM,74.791,0.304
163,05/28/18 02:16:00 PM,74.791,0.291
164,05/28/18 02:18:00 PM,74.791,0.296
165,05/28/18 02:20:00 PM,74.791,0.294
166,05/28/18 02:22:00 PM,74.791,0.285
167,05/28/18 02:24:00 PM,74.791,0.284
168,05/28/18 02:26:00 PM,74.791,0.281
169,05/28/18 02:28:00 PM,74.791,0.276
170,05/28/18 02:30:00 PM,74.791,0.277
171,05/28/18 02:32:00 PM,74.791,0.272
172,05/28/18 02:34:00 PM,74.791,0.268
173,05/28/18 02:36:00 PM,74.619,0.263
174,05/28/18 02:38:00 PM,74.619,0.256
175,05/28/18 02:40:00 PM,74.619,0.266
176,05/28/18 02:42:00 PM,74.619,0.266
177,05/28/18 02:44:00 PM,74.619,0.266
178,05/28/18 02:46:00 PM,74.619,0.265
179,05/28/18 02:48:00 PM,74.619,0.273
180,05/28/18 02:50:00 PM,74.619,0.281
181,05/28/18 02:52:00 PM,74.619,0.284
182,05/28/18 02:54:00 PM,74.619,0.297
183,05/28/18 02:56:00 PM,74.619,0.317
184,05/28/18 02:58:00 PM,74.619,0.315
185,05/28/18 03:00:00 PM,74.619,0.324
186,05/28/18 03:02:00 PM,74.619,0.319
187,05/28/18 03:04:00 PM,74.791,0.312
